"Fecha","Estado","Positivos","Positivos_Delta","Sospechosos","Sospechosos_Delta","Negativos","Negativos_Delta","Defunciones_Positivos","Defunciones_Positivos_Delta","Defunciones_Sospechosos","Defunciones_Sospechosos_Delta","Defunciones_Negativos","Defunciones_Negativos_Delta","Positivos_Sintomas_14_Dias","Sospechosos_Sintomas_14_Dias","Negativos_Sintomas_14_Dias","Positivos_Sintomas_7_Dias","Sospechosos_Sintomas_7_Dias","Negativos_Sintomas_7_Dias"
"2020-03-10","AGU",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","BCN",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","BCS",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","CAM",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","CHH",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","CHP",1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","CMX",3,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","COA",1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","COL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","DUR",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","GRO",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","GUA",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","HID",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","JAL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","MEX",1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","MIC",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","MOR",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","NAY",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","NLE",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","OAX",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","PUE",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","QUE",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","ROO",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","SIN",1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","SLP",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","SON",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","TAB",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","TAM",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","TLA",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","VER",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","YUC",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","ZAC",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
