"Fecha","Estado","Positivos","Positivos_Delta","Sospechosos","Sospechosos_Delta","Negativos","Negativos_Delta","Defunciones_Positivos","Defunciones_Positivos_Delta","Defunciones_Sospechosos","Defunciones_Sospechosos_Delta","Defunciones_Negativos","Defunciones_Negativos_Delta","Positivos_Sintomas_14_Dias","Sospechosos_Sintomas_14_Dias","Negativos_Sintomas_14_Dias","Positivos_Sintomas_7_Dias","Sospechosos_Sintomas_7_Dias","Negativos_Sintomas_7_Dias"
"2020-03-01","AGU",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","BCN",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","BCS",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","CAM",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","CHH",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","CHP",1,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","CMX",2,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","COA",1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","COL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","DUR",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","GRO",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","GUA",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","HID",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","JAL",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","MEX",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","MIC",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","MOR",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","NAY",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","NLE",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","OAX",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","PUE",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","QUE",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","ROO",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","SIN",1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","SLP",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","SON",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","TAB",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","TAM",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","TLA",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","VER",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","YUC",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","ZAC",0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
